province,province_code,district,district_code,ward,ward_code
quảng ninh,1000,hạ long,1100,hồng gai,1105
quảng ninh,1000,hạ long,1100,hòn gai,1106
quảng ninh,1000,hạ long,1100,trần hưng đạo,1107
quảng ninh,1000,hạ long,1100,bạch đằng,1108
quảng ninh,1000,hạ long,1100,cao thắng,1109
quảng ninh,1000,hạ long,1100,hồng hải,1110
quảng ninh,1000,hạ long,1100,hà lầm,1111
quảng ninh,1000,hạ long,1100,hà trung,1112
quảng ninh,1000,hạ long,1100,hồng hà,1113
quảng ninh,1000,hạ long,1100,hà tu,1114
quảng ninh,1000,hạ long,1100,hà phong,1115
quảng ninh,1000,hạ long,1100,hà khánh,1116
quảng ninh,1000,hạ long,1100,cao xanh,1117
quảng ninh,1000,hạ long,1100,yết kiêu,1118
quảng ninh,1000,hạ long,1100,bãi cháy,1119
quảng ninh,1000,hạ long,1100,hùng thắng,1120
quảng ninh,1000,hạ long,1100,giếng đáy,1121
quảng ninh,1000,hạ long,1100,hà khẩu,1122
quảng ninh,1000,hạ long,1100,việt hưng,1123
quảng ninh,1000,hạ long,1100,đại yên,1124
quảng ninh,1000,hạ long,1100,tuần châu,1125
quảng ninh,1000,cẩm phả,1200,cẩm trung,1206
quảng ninh,1000,cẩm phả,1200,cẩm thành,1207
quảng ninh,1000,cẩm phả,1200,cẩm tây,1208
quảng ninh,1000,cẩm phả,1200,cẩm bình,1209
quảng ninh,1000,cẩm phả,1200,cẩm đông,1210
quảng ninh,1000,cẩm phả,1200,cẩm sơn,1211
quảng ninh,1000,cẩm phả,1200,cẩm phú,1212
quảng ninh,1000,cẩm phả,1200,cẩm thịnh,1213
quảng ninh,1000,cẩm phả,1200,cửa ông,1214
quảng ninh,1000,cẩm phả,1200,cẩm hải,1215
quảng ninh,1000,cẩm phả,1200,cộng hòa,1216
quảng ninh,1000,cẩm phả,1200,mông dương,1217
quảng ninh,1000,cẩm phả,1200,dương huy,1218
quảng ninh,1000,cẩm phả,1200,quang hanh,1219
quảng ninh,1000,cẩm phả,1200,cẩm thạch,1220
quảng ninh,1000,cẩm phả,1200,cẩm thủy,1221
quảng ninh,1000,vân đồn,1300,cái rồng,1306
quảng ninh,1000,vân đồn,1300,vạn yên,1307
quảng ninh,1000,vân đồn,1300,đài xuyên,1308
quảng ninh,1000,vân đồn,1300,bình dân,1309
quảng ninh,1000,vân đồn,1300,đoàn kết,1310
quảng ninh,1000,vân đồn,1300,đông xá,1311
quảng ninh,1000,vân đồn,1300,thắng lợi,1312
quảng ninh,1000,vân đồn,1300,ngọc vừng,1313
quảng ninh,1000,vân đồn,1300,quan lạn,1314
quảng ninh,1000,vân đồn,1300,bản sen,1315
quảng ninh,1000,vân đồn,1300,minh châu,1316
quảng ninh,1000,vân đồn,1300,hạ long,1317
quảng ninh,1000,cô tô,1400,cô tô,1406
quảng ninh,1000,cô tô,1400,thanh lân,1407
quảng ninh,1000,cô tô,1400,đồng tiến,1408
quảng ninh,1000,móng cái,1500,hòa lạc,1506
quảng ninh,1000,móng cái,1500,hải hòa,1507
quảng ninh,1000,móng cái,1500,trần phú,1508
quảng ninh,1000,móng cái,1500,ka long,1509
quảng ninh,1000,móng cái,1500,ninh dương,1510
quảng ninh,1000,móng cái,1500,hải yên,1511
quảng ninh,1000,móng cái,1500,bắc sơn,1512
quảng ninh,1000,móng cái,1500,hải sơn,1513
quảng ninh,1000,móng cái,1500,quảng nghĩa,1514
quảng ninh,1000,móng cái,1500,hải tiến,1515
quảng ninh,1000,móng cái,1500,hải đông,1516
quảng ninh,1000,móng cái,1500,vạn ninh,1517
quảng ninh,1000,móng cái,1500,vĩnh trung,1518
quảng ninh,1000,móng cái,1500,vĩnh thực,1519
quảng ninh,1000,móng cái,1500,bình ngọc,1520
quảng ninh,1000,móng cái,1500,trà cổ,1521
quảng ninh,1000,móng cái,1500,hải xuân,1522
quảng ninh,1000,hải hà,1600,quảng hà,1606
quảng ninh,1000,hải hà,1600,quảng minh,1607
quảng ninh,1000,hải hà,1600,quảng thắng,1608
quảng ninh,1000,hải hà,1600,quảng thành,1609
quảng ninh,1000,hải hà,1600,quảng đức,1610
quảng ninh,1000,hải hà,1600,quảng sơn,1611
quảng ninh,1000,hải hà,1600,đường hoa,1612
quảng ninh,1000,hải hà,1600,quảng phong,1613
quảng ninh,1000,hải hà,1600,quảng long,1614
quảng ninh,1000,hải hà,1600,quảng thịnh,1615
quảng ninh,1000,hải hà,1600,quảng chính,1616
quảng ninh,1000,hải hà,1600,quảng trung,1617
quảng ninh,1000,hải hà,1600,phú hải,1618
quảng ninh,1000,hải hà,1600,quảng điền,1619
quảng ninh,1000,hải hà,1600,tiến tới,1620
quảng ninh,1000,hải hà,1600,cái chiên,1621
quảng ninh,1000,bình liêu,1700,bình liêu,1706
quảng ninh,1000,bình liêu,1700,húc động,1707
quảng ninh,1000,bình liêu,1700,đồng văn,1708
quảng ninh,1000,bình liêu,1700,hoành mô,1709
quảng ninh,1000,bình liêu,1700,đồng tâm,1710
quảng ninh,1000,bình liêu,1700,lục hồn,1711
quảng ninh,1000,bình liêu,1700,tình húc,1712
quảng ninh,1000,bình liêu,1700,vô ngại,1713
quảng ninh,1000,đầm hà,1800,đầm hà,1806
quảng ninh,1000,đầm hà,1800,quảng tân,1807
quảng ninh,1000,đầm hà,1800,quảng lợi,1808
quảng ninh,1000,đầm hà,1800,tân bình,1809
quảng ninh,1000,đầm hà,1800,quảng lâm,1810
quảng ninh,1000,đầm hà,1800,quảng an,1811
quảng ninh,1000,đầm hà,1800,dực yên,1812
quảng ninh,1000,đầm hà,1800,đại bình,1813
quảng ninh,1000,đầm hà,1800,tân lập,1814
quảng ninh,1000,đầm hà,1800,đầm hà,1815
quảng ninh,1000,tiên yên,1900,tiên yên,1906
quảng ninh,1000,tiên yên,1900,tiên lãng,1907
quảng ninh,1000,tiên yên,1900,đông hải,1908
quảng ninh,1000,tiên yên,1900,đông ngũ,1909
quảng ninh,1000,tiên yên,1900,đại dực,1910
quảng ninh,1000,tiên yên,1900,đại thành,1911
quảng ninh,1000,tiên yên,1900,phong dụ,1912
quảng ninh,1000,tiên yên,1900,hà lâu,1913
quảng ninh,1000,tiên yên,1900,điền xá,1914
quảng ninh,1000,tiên yên,1900,yên than,1915
quảng ninh,1000,tiên yên,1900,hải lạng,1916
quảng ninh,1000,tiên yên,1900,đồng rui,1917
quảng ninh,1000,ba chẽ,2000,ba chẽ,2006
quảng ninh,1000,ba chẽ,2000,nam sơn,2007
quảng ninh,1000,ba chẽ,2000,thanh sơn,2008
quảng ninh,1000,ba chẽ,2000,thanh lâm,2009
quảng ninh,1000,ba chẽ,2000,lương mông,2010
quảng ninh,1000,ba chẽ,2000,minh cầm,2011
quảng ninh,1000,ba chẽ,2000,đạp thanh,2012
quảng ninh,1000,ba chẽ,2000,đồn đạc,2013
quảng ninh,1000,hoành bồ,2100,trới,2106
quảng ninh,1000,hoành bồ,2100,lê lợi,2107
quảng ninh,1000,hoành bồ,2100,sơn dương,2108
quảng ninh,1000,hoành bồ,2100,đồng lâm,2109
quảng ninh,1000,hoành bồ,2100,thống nhất,2110
quảng ninh,1000,hoành bồ,2100,vũ oai,2111
quảng ninh,1000,hoành bồ,2100,hòa bình,2112
quảng ninh,1000,hoành bồ,2100,kỳ thượng,2113
quảng ninh,1000,hoành bồ,2100,đồng sơn,2114
quảng ninh,1000,hoành bồ,2100,dân chủ,2115
quảng ninh,1000,hoành bồ,2100,tân dân,2116
quảng ninh,1000,hoành bồ,2100,quảng la,2117
quảng ninh,1000,hoành bồ,2100,bằng cả,2118
quảng ninh,1000,quảng yên,2200,quảng yên,2206
quảng ninh,1000,quảng yên,2200,hà an,2207
quảng ninh,1000,quảng yên,2200,hoàng tân,2208
quảng ninh,1000,quảng yên,2200,tân an,2209
quảng ninh,1000,quảng yên,2200,tiền an,2210
quảng ninh,1000,quảng yên,2200,minh thành,2211
quảng ninh,1000,quảng yên,2200,đông mai,2212
quảng ninh,1000,quảng yên,2200,sông khoai,2213
quảng ninh,1000,quảng yên,2200,cộng hòa,2214
quảng ninh,1000,quảng yên,2200,hiệp hòa,2215
quảng ninh,1000,quảng yên,2200,yên giang,2216
quảng ninh,1000,quảng yên,2200,nam hòa,2217
quảng ninh,1000,quảng yên,2200,yên hải,2218
quảng ninh,1000,quảng yên,2200,phong cốc,2219
quảng ninh,1000,quảng yên,2200,liên vị,2220
quảng ninh,1000,quảng yên,2200,tiền phong,2221
quảng ninh,1000,quảng yên,2200,liên hòa,2222
quảng ninh,1000,quảng yên,2200,phong hải,2223
quảng ninh,1000,quảng yên,2200,cẩm la,2224
quảng ninh,1000,uông bí,2300,thanh sơn,2306
quảng ninh,1000,uông bí,2300,quang trung,2307
quảng ninh,1000,uông bí,2300,bắc sơn,2308
quảng ninh,1000,uông bí,2300,vàng danh,2309
quảng ninh,1000,uông bí,2300,thượng yên công,2310
quảng ninh,1000,uông bí,2300,phương đông,2311
quảng ninh,1000,uông bí,2300,phương nam,2312
quảng ninh,1000,uông bí,2300,yên thanh,2313
quảng ninh,1000,uông bí,2300,điền công,2314
quảng ninh,1000,uông bí,2300,trưng vương,2315
quảng ninh,1000,uông bí,2300,nam khê,2316
quảng ninh,1000,đông triều,2400,đông triều,2406
quảng ninh,1000,đông triều,2400,đức chính,2407
quảng ninh,1000,đông triều,2400,tràng an,2408
quảng ninh,1000,đông triều,2400,xuân sơn,2409
quảng ninh,1000,đông triều,2400,kim sơn,2410
quảng ninh,1000,đông triều,2400,mạo khê,2411
quảng ninh,1000,đông triều,2400,yên thọ,2412
quảng ninh,1000,đông triều,2400,yên đức,2413
quảng ninh,1000,đông triều,2400,hoàng quế,2414
quảng ninh,1000,đông triều,2400,hồng thái tây,2415
quảng ninh,1000,đông triều,2400,hồng thái đông,2416
quảng ninh,1000,đông triều,2400,tràng lương,2417
quảng ninh,1000,đông triều,2400,bình khê,2418
quảng ninh,1000,đông triều,2400,an sinh,2419
quảng ninh,1000,đông triều,2400,tân việt,2420
quảng ninh,1000,đông triều,2400,việt dân,2421
quảng ninh,1000,đông triều,2400,bình dương,2422
quảng ninh,1000,đông triều,2400,nguyễn huệ,2423
quảng ninh,1000,đông triều,2400,thủy an,2424
quảng ninh,1000,đông triều,2400,hồng phong,2425
quảng ninh,1000,đông triều,2400,hưng đạo,2426
hải dương,3000,hải dương,3100,trần phú,3106
hải dương,3000,hải dương,3100,quang trung,3107
hải dương,3000,hải dương,3100,nguyễn trãi,3108
hải dương,3000,hải dương,3100,bình hàn,3109
hải dương,3000,hải dương,3100,phạm ngũ lão,3110
hải dương,3000,hải dương,3100,trần hưng đạo,3111
hải dương,3000,hải dương,3100,lê thanh nghị,3112
hải dương,3000,hải dương,3100,hải tân,3113
hải dương,3000,hải dương,3100,ngọc châu,3114
hải dương,3000,hải dương,3100,nhị châu,3115
hải dương,3000,hải dương,3100,cẩm thượng,3116
hải dương,3000,hải dương,3100,thanh bình,3117
hải dương,3000,hải dương,3100,tân bình,3118
hải dương,3000,hải dương,3100,thạch khôi,3119
hải dương,3000,hải dương,3100,tân hưng,3120
hải dương,3000,hải dương,3100,nam đồng,3121
hải dương,3000,hải dương,3100,ái quốc,3122
hải dương,3000,hải dương,3100,an châu,3123
hải dương,3000,hải dương,3100,thượng đạt,3124
hải dương,3000,hải dương,3100,việt hòa,3125
hải dương,3000,hải dương,3100,tứ minh,3126
hải dương,3000,thanh hà,3200,thanh hà,3206
hải dương,3000,thanh hà,3200,thanh xá,3207
hải dương,3000,thanh hà,3200,thanh xuân,3208
hải dương,3000,thanh hà,3200,liên mạc,3209
hải dương,3000,thanh hà,3200,thanh lang,3210
hải dương,3000,thanh hà,3200,thanh an,3211
hải dương,3000,thanh hà,3200,cẩm chế,3212
hải dương,3000,thanh hà,3200,việt hồng,3213
hải dương,3000,thanh hà,3200,tân việt,3214
hải dương,3000,thanh hà,3200,hồng lạc,3215
hải dương,3000,thanh hà,3200,quyết thắng,3216
hải dương,3000,thanh hà,3200,tiền tiến,3217
hải dương,3000,thanh hà,3200,thanh hải,3218
hải dương,3000,thanh hà,3200,tân an,3219
hải dương,3000,thanh hà,3200,thanh khê,3220
hải dương,3000,thanh hà,3200,an lương,3221
hải dương,3000,thanh hà,3200,phượng hoàng,3222
hải dương,3000,thanh hà,3200,thanh sơn,3223
hải dương,3000,thanh hà,3200,thanh thủy,3224
hải dương,3000,thanh hà,3200,trường thành,3225
hải dương,3000,thanh hà,3200,thanh hồng,3226
hải dương,3000,thanh hà,3200,vĩnh lập,3227
hải dương,3000,thanh hà,3200,thanh cường,3228
hải dương,3000,thanh hà,3200,thanh bính,3229
hải dương,3000,thanh hà,3200,hợp đức,3230
hải dương,3000,kim thành,3300,phú thái,3306
hải dương,3000,kim thành,3300,phúc thành a,3307
hải dương,3000,kim thành,3300,kim xuyên,3308
hải dương,3000,kim thành,3300,việt hưng,3309
hải dương,3000,kim thành,3300,tuấn hưng,3310
hải dương,3000,kim thành,3300,thượng vũ,3311
hải dương,3000,kim thành,3300,lai vu,3312
hải dương,3000,kim thành,3300,cộng hòa,3313
hải dương,3000,kim thành,3300,cổ dũng,3314
hải dương,3000,kim thành,3300,ngũ phúc,3315
hải dương,3000,kim thành,3300,kim đính,3316
hải dương,3000,kim thành,3300,bình dân,3317
hải dương,3000,kim thành,3300,liên hòa,3318
hải dương,3000,kim thành,3300,đại đức,3319
hải dương,3000,kim thành,3300,tam kỳ,3320
hải dương,3000,kim thành,3300,đồng gia,3321
hải dương,3000,kim thành,3300,cẩm la,3322
hải dương,3000,kim thành,3300,kim tân,3323
hải dương,3000,kim thành,3300,kim khê,3324
hải dương,3000,kim thành,3300,kim anh,3325
hải dương,3000,kim thành,3300,kim lương,3326
hải dương,3000,kinh môn,3400,kinh môn,3406
hải dương,3000,kinh môn,3400,phú thứ,3407
hải dương,3000,kinh môn,3400,minh tân,3408
hải dương,3000,kinh môn,3400,tân dân,3409
hải dương,3000,kinh môn,3400,duy tân,3410
hải dương,3000,kinh môn,3400,hoành sơn,3411
hải dương,3000,kinh môn,3400,thất hùng,3412
hải dương,3000,kinh môn,3400,bạch đằng,3413
hải dương,3000,kinh môn,3400,lê ninh,3414
hải dương,3000,kinh môn,3400,phúc thành b,3415
hải dương,3000,kinh môn,3400,quang trung,3416
hải dương,3000,kinh môn,3400,thăng long,3417
hải dương,3000,kinh môn,3400,lạc long,3418
hải dương,3000,kinh môn,3400,hiệp hòa,3419
hải dương,3000,kinh môn,3400,thái sơn,3420
hải dương,3000,kinh môn,3400,phạm mệnh,3421
hải dương,3000,kinh môn,3400,hiệp sơn,3422
hải dương,3000,kinh môn,3400,an sinh,3423
hải dương,3000,kinh môn,3400,thượng quận,3424
hải dương,3000,kinh môn,3400,an phụ,3425
hải dương,3000,kinh môn,3400,hiệp an,3426
hải dương,3000,kinh môn,3400,long xuyên,3427
hải dương,3000,kinh môn,3400,hiến thành,3428
hải dương,3000,kinh môn,3400,minh hòa,3429
hải dương,3000,kinh môn,3400,thái thịnh,3430
hải dương,3000,chí linh,3500,sao đỏ,3506
hải dương,3000,chí linh,3500,văn đức,3507
hải dương,3000,chí linh,3500,hoàng tân,3508
hải dương,3000,chí linh,3500,hoàng tiến,3509
hải dương,3000,chí linh,3500,bến tắm,3510
hải dương,3000,chí linh,3500,hoàng hoa thám,3511
hải dương,3000,chí linh,3500,bắc an,3512
hải dương,3000,chí linh,3500,lê lợi,3513
hải dương,3000,chí linh,3500,hưng đạo,3514
hải dương,3000,chí linh,3500,phả lại,3515
hải dương,3000,chí linh,3500,cổ thành,3516
hải dương,3000,chí linh,3500,nhân huệ,3517
hải dương,3000,chí linh,3500,văn an,3518
hải dương,3000,chí linh,3500,cộng hòa,3519
hải dương,3000,chí linh,3500,chí minh,3520
hải dương,3000,chí linh,3500,thái học,3521
hải dương,3000,chí linh,3500,an lạc,3522
hải dương,3000,chí linh,3500,kênh giang,3523
hải dương,3000,chí linh,3500,tân dân,3524
hải dương,3000,chí linh,3500,đồng lạc,3525
hải dương,3000,nam sách,3550,nam sách,3556
hải dương,3000,nam sách,3550,an lâm,3557
hải dương,3000,nam sách,3550,phú điền,3558
hải dương,3000,nam sách,3550,cộng hòa,3559
hải dương,3000,nam sách,3550,an bình,3560
hải dương,3000,nam sách,3550,thanh quang,3561
hải dương,3000,nam sách,3550,nam tân,3562
hải dương,3000,nam sách,3550,nam hưng,3563
hải dương,3000,nam sách,3550,hợp tiến,3564
hải dương,3000,nam sách,3550,hiệp cát,3565
hải dương,3000,nam sách,3550,nam chính,3566
hải dương,3000,nam sách,3550,quốc tuấn,3567
hải dương,3000,nam sách,3550,nam trung,3568
hải dương,3000,nam sách,3550,an sơn,3569
hải dương,3000,nam sách,3550,thái tân,3570
hải dương,3000,nam sách,3550,minh tân,3571
hải dương,3000,nam sách,3550,hồng phong,3572
hải dương,3000,nam sách,3550,nam hồng,3573
hải dương,3000,nam sách,3550,đồng lạc,3574
hải dương,3000,cẩm giàng,3600,cẩm giàng,3606
hải dương,3000,cẩm giàng,3600,lai cách,3607
hải dương,3000,cẩm giàng,3600,cao an,3608
hải dương,3000,cẩm giàng,3600,đức chính,3609
hải dương,3000,cẩm giàng,3600,cẩm sơn,3610
hải dương,3000,cẩm giàng,3600,cẩm văn,3611
hải dương,3000,cẩm giàng,3600,cẩm vũ,3612
hải dương,3000,cẩm giàng,3600,cẩm định,3613
hải dương,3000,cẩm giàng,3600,cẩm hoàng,3614
hải dương,3000,cẩm giàng,3600,thạch lỗi,3615
hải dương,3000,cẩm giàng,3600,cẩm hưng,3616
hải dương,3000,cẩm giàng,3600,ngọc liên,3617
hải dương,3000,cẩm giàng,3600,kim giang,3618
hải dương,3000,cẩm giàng,3600,lương điền,3619
hải dương,3000,cẩm giàng,3600,cẩm điền,3620
hải dương,3000,cẩm giàng,3600,cẩm phúc,3621
hải dương,3000,cẩm giàng,3600,tân trường,3622
hải dương,3000,cẩm giàng,3600,cẩm đông,3623
hải dương,3000,cẩm giàng,3600,cẩm đoài,3624
hải dương,3000,gia lộc,3650,gia lộc,3656
hải dương,3000,gia lộc,3650,gia khánh,3657
hải dương,3000,gia lộc,3650,gia lương,3658
hải dương,3000,gia lộc,3650,tân tiến,3659
hải dương,3000,gia lộc,3650,gia xuyên,3660
hải dương,3000,gia lộc,3650,gia tân,3661
hải dương,3000,gia lộc,3650,liên hồng,3662
hải dương,3000,gia lộc,3650,thống nhất,3663
hải dương,3000,gia lộc,3650,trùng khánh,3664
hải dương,3000,gia lộc,3650,yết kiêu,3665
hải dương,3000,gia lộc,3650,gia hòa,3666
hải dương,3000,gia lộc,3650,phương hưng,3667
hải dương,3000,gia lộc,3650,toàn thắng,3668
hải dương,3000,gia lộc,3650,lê lợi,3669
hải dương,3000,gia lộc,3650,phạm trấn,3670
hải dương,3000,gia lộc,3650,nhật tân,3671
hải dương,3000,gia lộc,3650,quang minh,3672
hải dương,3000,gia lộc,3650,đồng quang,3673
hải dương,3000,gia lộc,3650,đức xương,3674
hải dương,3000,gia lộc,3650,thống kênh,3675
hải dương,3000,gia lộc,3650,đoàn thượng,3676
hải dương,3000,gia lộc,3650,hồng hưng,3677
hải dương,3000,gia lộc,3650,hoàng diệu,3678
hải dương,3000,bình giang,3700,kẻ sặt,3706
hải dương,3000,bình giang,3700,tráng liệt,3707
hải dương,3000,bình giang,3700,thúc kháng,3708
hải dương,3000,bình giang,3700,thái dương,3709
hải dương,3000,bình giang,3700,thái hòa,3710
hải dương,3000,bình giang,3700,tân hồng,3711
hải dương,3000,bình giang,3700,bình minh,3712
hải dương,3000,bình giang,3700,thái học,3713
hải dương,3000,bình giang,3700,bình xuyên,3714
hải dương,3000,bình giang,3700,nhân quyền,3715
hải dương,3000,bình giang,3700,cổ bi,3716
hải dương,3000,bình giang,3700,hồng khê,3717
hải dương,3000,bình giang,3700,long xuyên,3718
hải dương,3000,bình giang,3700,tân việt,3719
hải dương,3000,bình giang,3700,hùng thắng,3720
hải dương,3000,bình giang,3700,vĩnh tuy,3721
hải dương,3000,bình giang,3700,vĩnh hồng,3722
hải dương,3000,bình giang,3700,hưng thịnh,3723
hải dương,3000,thanh miện,3750,thanh miện,3756
hải dương,3000,thanh miện,3750,lam sơn,3757
hải dương,3000,thanh miện,3750,phạm kha,3758
hải dương,3000,thanh miện,3750,thanh tùng,3759
hải dương,3000,thanh miện,3750,đoàn tùng,3760
hải dương,3000,thanh miện,3750,hồng quang,3761
hải dương,3000,thanh miện,3750,ngô quyền,3762
hải dương,3000,thanh miện,3750,tân trào,3763
hải dương,3000,thanh miện,3750,đoàn kết,3764
hải dương,3000,thanh miện,3750,lê hồng,3765
hải dương,3000,thanh miện,3750,cao thắng,3766
hải dương,3000,thanh miện,3750,chi lăng bắc,3767
hải dương,3000,thanh miện,3750,chi lăng nam,3768
hải dương,3000,thanh miện,3750,diên hồng,3769
hải dương,3000,thanh miện,3750,tiền phong,3770
hải dương,3000,thanh miện,3750,thanh giang,3771
hải dương,3000,thanh miện,3750,ngũ hùng,3772
hải dương,3000,thanh miện,3750,tứ cường,3773
hải dương,3000,thanh miện,3750,hùng sơn,3774
hải dương,3000,ninh giang,3800,ninh giang,3806
hải dương,3000,ninh giang,3800,đồng tâm,3807
hải dương,3000,ninh giang,3800,vĩnh hòa,3808
hải dương,3000,ninh giang,3800,ninh thành,3809
hải dương,3000,ninh giang,3800,tân hương,3810
hải dương,3000,ninh giang,3800,nghĩa an,3811
hải dương,3000,ninh giang,3800,quyết thắng,3812
hải dương,3000,ninh giang,3800,ứng hòe,3813
hải dương,3000,ninh giang,3800,ninh hòa,3814
hải dương,3000,ninh giang,3800,hồng đức,3815
hải dương,3000,ninh giang,3800,vạn phúc,3816
hải dương,3000,ninh giang,3800,an đức,3817
hải dương,3000,ninh giang,3800,hoàng hanh,3818
hải dương,3000,ninh giang,3800,quang hưng,3819
hải dương,3000,ninh giang,3800,tân quang,3820
hải dương,3000,ninh giang,3800,văn hội,3821
hải dương,3000,ninh giang,3800,văn giang,3822
hải dương,3000,ninh giang,3800,hưng thái,3823
hải dương,3000,ninh giang,3800,hưng long,3824
hải dương,3000,ninh giang,3800,hồng phúc,3825
hải dương,3000,ninh giang,3800,tân phong,3826
hải dương,3000,ninh giang,3800,kiến quốc,3827
hải dương,3000,ninh giang,3800,đông xuyên,3828
hải dương,3000,ninh giang,3800,ninh hải,3829
hải dương,3000,ninh giang,3800,hồng dụ,3830
hải dương,3000,ninh giang,3800,hồng thái,3831
hải dương,3000,ninh giang,3800,hồng phong,3832
hải dương,3000,ninh giang,3800,hiệp lực,3833
hải dương,3000,tứ kỳ,3900,tứ kỳ,3906
hải dương,3000,tứ kỳ,3900,đông kỳ,3907
hải dương,3000,tứ kỳ,3900,quang phục,3908
hải dương,3000,tứ kỳ,3900,bình lăng,3909
hải dương,3000,tứ kỳ,3900,tái sơn,3910
hải dương,3000,tứ kỳ,3900,hưng đạo,3911
hải dương,3000,tứ kỳ,3900,đại đồng,3912
hải dương,3000,tứ kỳ,3900,kỳ sơn,3913
hải dương,3000,tứ kỳ,3900,ngọc sơn,3914
hải dương,3000,tứ kỳ,3900,ngọc kỳ,3915
hải dương,3000,tứ kỳ,3900,tân kỳ,3916
hải dương,3000,tứ kỳ,3900,dân chủ,3917
hải dương,3000,tứ kỳ,3900,quảng nghiệp,3918
hải dương,3000,tứ kỳ,3900,đại hợp,3919
hải dương,3000,tứ kỳ,3900,quang khải,3920
hải dương,3000,tứ kỳ,3900,minh đức,3921
hải dương,3000,tứ kỳ,3900,tây kỳ,3922
hải dương,3000,tứ kỳ,3900,văn tố,3923
hải dương,3000,tứ kỳ,3900,phượng kỳ,3924
hải dương,3000,tứ kỳ,3900,hà kỳ,3925
hải dương,3000,tứ kỳ,3900,hà thanh,3926
hải dương,3000,tứ kỳ,3900,tiên động,3927
hải dương,3000,tứ kỳ,3900,nguyên giáp,3928
hải dương,3000,tứ kỳ,3900,quang trung,3929
hải dương,3000,tứ kỳ,3900,cộng lạc,3930
hải dương,3000,tứ kỳ,3900,an thanh,3931
hải dương,3000,tứ kỳ,3900,tứ xuyên,3932
hải phòng,4000,hồng bàng,4100,hoàng văn thụ,4106
hải phòng,4000,hồng bàng,4100,minh khai,4107
hải phòng,4000,hồng bàng,4100,quang trung,4108
hải phòng,4000,hồng bàng,4100,phan bội châu,4109
hải phòng,4000,hồng bàng,4100,phạm hồng thái,4110
hải phòng,4000,hồng bàng,4100,hạ lý,4111
hải phòng,4000,hồng bàng,4100,thượng lý,4112
hải phòng,4000,hồng bàng,4100,sở dầu,4113
hải phòng,4000,hồng bàng,4100,trại chuối,4114
hải phòng,4000,hồng bàng,4100,hùng vương,4115
hải phòng,4000,hồng bàng,4100,quán toan,4116
hải phòng,4000,ngô quyền,4200,máy tơ,4206
hải phòng,4000,ngô quyền,4200,lương khánh thiện,4207
hải phòng,4000,ngô quyền,4200,cầu đất,4208
hải phòng,4000,ngô quyền,4200,lê lợi,4209
hải phòng,4000,ngô quyền,4200,lạch tray,4210
hải phòng,4000,ngô quyền,4200,đổng quốc bình,4211
hải phòng,4000,ngô quyền,4200,đằng giang,4212
hải phòng,4000,ngô quyền,4200,gia viên,4213
hải phòng,4000,ngô quyền,4200,đông khê,4214
hải phòng,4000,ngô quyền,4200,lạc viên,4215
hải phòng,4000,ngô quyền,4200,cầu tre,4216
hải phòng,4000,ngô quyền,4200,vạn mỹ,4217
hải phòng,4000,ngô quyền,4200,máy chai,4218
hải phòng,4000,thủy nguyên,4300,núi đèo,4306
hải phòng,4000,thủy nguyên,4300,thủy đường,4307
hải phòng,4000,thủy nguyên,4300,hòa bình,4308
hải phòng,4000,thủy nguyên,4300,an lư,4309
hải phòng,4000,thủy nguyên,4300,trung hà,4310
hải phòng,4000,thủy nguyên,4300,thủy triều,4311
hải phòng,4000,thủy nguyên,4300,lập lễ,4312
hải phòng,4000,thủy nguyên,4300,phả lễ,4313
hải phòng,4000,thủy nguyên,4300,tam hưng,4314
hải phòng,4000,thủy nguyên,4300,phục lễ,4315
hải phòng,4000,thủy nguyên,4300,ngũ lão,4316
hải phòng,4000,thủy nguyên,4300,minh đức,4317
hải phòng,4000,thủy nguyên,4300,gia đức,4318
hải phòng,4000,thủy nguyên,4300,minh tân,4319
hải phòng,4000,thủy nguyên,4300,gia minh,4320
hải phòng,4000,thủy nguyên,4300,lưu kỳ,4321
hải phòng,4000,thủy nguyên,4300,liên khê,4322
hải phòng,4000,thủy nguyên,4300,kỳ sơn,4323
hải phòng,4000,thủy nguyên,4300,lại xuân,4324
hải phòng,4000,thủy nguyên,4300,an sơn,4325
hải phòng,4000,thủy nguyên,4300,phù ninh,4326
hải phòng,4000,thủy nguyên,4300,hợp thành,4327
hải phòng,4000,thủy nguyên,4300,quảng thanh,4328
hải phòng,4000,thủy nguyên,4300,chính mỹ,4329
hải phòng,4000,thủy nguyên,4300,lưu kiếm,4330
hải phòng,4000,thủy nguyên,4300,kênh giang,4331
hải phòng,4000,thủy nguyên,4300,đông sơn,4332
hải phòng,4000,thủy nguyên,4300,mỹ đồng,4333
hải phòng,4000,thủy nguyên,4300,cao nhân,4334
hải phòng,4000,thủy nguyên,4300,kiền bái,4335
hải phòng,4000,thủy nguyên,4300,hoàng động,4336
hải phòng,4000,thủy nguyên,4300,lâm động,4337
hải phòng,4000,thủy nguyên,4300,thiên hương,4338
hải phòng,4000,thủy nguyên,4300,thủy sơn,4339
hải phòng,4000,thủy nguyên,4300,hoa động,4340
hải phòng,4000,thủy nguyên,4300,tân dương,4341
hải phòng,4000,thủy nguyên,4300,dương quan,4342
hải phòng,4000,an dương,4400,an dương,4406
hải phòng,4000,an dương,4400,nam sơn,4407
